"","Nest_ID","year","found_day","species","habitat","fws_steel_band.x","eggs_max","fate","fate_day","eggs_hatched","ducklings_min","predator","camera_nest","camera_type","camera_start","camera_end","camera_fate","camera_days","camera_exposure","inc_late","inc_mean","inc_median","inc_early","inc_hatch","inc_firsthatch","found_laying","init_laying","init_mean","init_median","init_hatch","init_firsthatch","found_status","eggs_depredated","eggs_inviable","Species","Fate_video","Fate_Dep_Species_video","Min_Number_Ducklings_video","capture_date","capture_datetime","release_datetime","age","mass","wing_chord","flattened_wing","culmen","nares_distal","nares_proximal","tarsus_total","tarsus_diagonal","head","primary_ninth","transmitter"
"31","10-BJH010",2010,193,"SPEI",NA,NA,0,"Destroyed",193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Destroyed",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","10-BJH011",2010,194,"SPEI",NA,"1767-22627",5,"Hatched",197,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,172,172,172,172,172,NA,NA,169,169,169,169,"Active",0,NA,NA,NA,NA,NA,"2010-07-16","2010/07/16 19:07:00","2010/07/16 19:22:00","ASY",1014,NA,NA,27.5,NA,NA,"57.08","44.65",NA,NA,NA
"33","10-DES006",2010,170,"KIEI",NA,NA,0,"Destroyed",176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Active",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","10-DES013",2010,176,"KIEI",NA,NA,1,"Destroyed",183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,176,176,176,176,NA,NA,NA,NA,177,177,NA,NA,"Active",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","10-DES017",2010,179,"KIEI",NA,NA,0,"Destroyed",179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Destroyed",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","10-DES018",2010,180,"SPEI",NA,NA,0,"Destroyed",180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Destroyed",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","10-DES019",2010,180,"KIEI",NA,NA,0,"Destroyed",180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Destroyed",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","10-DES020",2010,181,"LTDU",NA,NA,2,"Destroyed",198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,181,181,181,181,NA,NA,NA,NA,181,181,NA,NA,"Active",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","10-DES021",2010,181,"STEI",NA,"2406-00622",3,"Hatched",204,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,179.5,179.5,179,179,179,"0",NA,178.5,178.5,178,178,"Active",0,NA,NA,NA,NA,NA,"2010-07-21","2010/07/21 12:40:00","2010/07/21 12:55:00","ASY",655,20.9,21.1,38.03,NA,NA,"45.15","36.32",NA,NA,NA
"40","10-DES022",2010,183,"KIEI",NA,NA,0,"Destroyed",183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Destroyed",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
