,activity_id,nest_id,video_id,behavior,recess_cause,datetime_begin_raw,datetime_end_raw,datetime_begin_corrected,datetime_end_corrected,has_negative_duration,begin_dt,end_dt,duration_min,duration_hr,total_mins,init_median,year,species,fate,fate_day
194,26913,19cht010,19-CHT010_3,I-Incubating,NotApplicable,2019-07-06T02:27:11-08:00,2019-07-07T05:37:38-08:00,2019-07-06T02:27:06-08:00,2019-07-07T05:37:38-08:00,FALSE,7/6/2019 2:27,7/7/2019 5:37,1630.533333,27.17555556,20017.1,161.8333333,2019,KIEI,Hatched,190
195,26226,19cht036,19-CHT036_1,I-Incubating,NotApplicable,2019-07-05T02:43:28-08:00,2019-07-06T05:43:45-08:00,2019-07-05T02:46:52-08:00,2019-07-06T05:47:19-08:00,FALSE,7/5/2019 2:46,7/6/2019 5:47,1620.45,27.0075,8171.966667,162.5416667,2019,SPEI,Hatched,189
196,26183,19cht024,19-CHT024_1,I-Incubating,NotApplicable,2019-07-04T05:21:36-08:00,2019-07-05T08:21:43-08:00,2019-07-04T05:27:49-08:00,2019-07-05T08:28:06-08:00,FALSE,7/4/2019 5:27,7/5/2019 8:28,1620.283333,27.00472222,15640.65,167,2019,SPEI,Hatched,194
197,23109,16fox002,16-FOX002_1,I-Incubating,NotApplicable,2016-06-15T04:34:00-08:00,2016-06-16T07:28:45-08:00,2016-06-15T04:30:19-08:00,2016-06-16T07:25:11-08:00,FALSE,6/15/2016 4:30,6/16/2016 7:25,1614.866667,26.91444444,24531.36667,156,2016,KIEI,Hatched,186
198,27983,24cam058,24-CAM058_1,I-Incubating,NotApplicable,2024-07-19T03:25:48-08:00,2024-07-20T06:15:25-08:00,2024-07-19T03:25:43-08:00,2024-07-20T06:15:30-08:00,FALSE,7/19/2024 3:25,7/20/2024 6:15,1609.783333,26.82972222,27151.16667,176.75,2024,KIEI,Hatched,204
199,25412,13crg028,13-CRG028_1,I-Incubating,NotApplicable,2013-07-03T04:15:00-08:00,2013-07-04T06:55:00-08:00,2013-07-03T04:16:43-08:00,2013-07-04T06:56:50-08:00,FALSE,7/3/2013 4:16,7/4/2013 6:56,1600.116667,26.66861111,6920.366667,162,2013,SPEI,Hatched,189
200,27082,22jam031,22-JAM031_1,I-Incubating,NotApplicable,2022-07-03T05:31:15-08:00,2022-07-04T08:09:12-08:00,2022-07-03T05:31:10-08:00,2022-07-04T08:09:17-08:00,FALSE,7/3/2022 5:31,7/4/2022 8:09,1598.116667,26.63527778,28501.5,177,2022,KIEI,Hatched,202
201,23026,15sot010,15-SOT010_2,I-Incubating,NotApplicable,2015-07-05T10:50:45-08:00,2015-07-06T13:27:30-08:00,2015-07-05T10:50:37-08:00,2015-07-06T13:27:30-08:00,FALSE,7/5/2015 10:50,7/6/2015 13:27,1596.883333,26.61472222,10171.61667,164,2015,SPEI,Hatched,190
202,27517,23hec144,23-HEC144_1,I-Incubating,NotApplicable,2023-07-09T09:14:55-08:00,2023-07-10T11:36:02-08:00,2023-07-09T09:14:50-08:00,2023-07-10T11:36:07-08:00,FALSE,7/9/2023 9:14,7/10/2023 11:36,1581.283333,26.35472222,16440.78333,170,2023,KIEI,Destroyed,194
203,22509,12rrg007,12-RRG007_3,I-Incubating,NotApplicable,2012-07-05T04:31:10-08:00,2012-07-06T06:51:25-08:00,2012-07-05T06:35:51-08:00,2012-07-06T08:56:21-08:00,FALSE,7/5/2012 6:35,7/6/2012 8:56,1580.5,26.34166667,22670.11667,166,2012,SPEI,Hatched,192
