"","activity_id","nest_id","video_id","behavior","recess_cause","datetime_begin_raw","datetime_end_raw","datetime_begin_corrected","datetime_end_corrected","has_negative_duration","begin_dt","end_dt","duration_min","duration_hr"
"80",22495,"12jjn017","12-JJN017_1","I-Incubating","NotApplicable","2012-06-23T12:25:15-08:00","2012-06-25T11:41:30-08:00","2012-06-24T10:51:28-08:00","2012-06-26T10:07:58-08:00",FALSE,2012-06-24 10:51:28,2012-06-26 10:07:58,2836.5,47.275
"81",23081,"16fox002","16-FOX002_1","I-Incubating","NotApplicable","2016-06-17T09:23:00-08:00","2016-06-19T08:37:30-08:00","2016-06-17T09:19:11-08:00","2016-06-19T08:33:56-08:00",FALSE,2016-06-17 09:19:11,2016-06-19 08:33:56,2834.75,47.2458333333333
"82",22723,"15ery012","15-ERY012_2","I-Incubating","NotApplicable","2015-07-04T07:35:45-08:00","2015-07-06T06:39:15-08:00","2015-07-04T07:35:37-08:00","2015-07-06T06:39:22-08:00",FALSE,2015-07-04 07:35:37,2015-07-06 06:39:22,2823.75,47.0625
"83",22506,"12rrg007","12-RRG007_2","I-Incubating","NotApplicable","2012-07-01T06:44:10-08:00","2012-07-03T05:40:10-08:00","2012-07-01T07:09:51-08:00","2012-07-03T06:06:06-08:00",FALSE,2012-07-01 07:09:51,2012-07-03 06:06:06,2816.25,46.9375
"84",21474,"11des015","11-DES015_3","I-Incubating","NotApplicable","2011-07-07T08:11:13-08:00","2011-07-09T06:58:13-08:00","2011-07-07T08:38:46-08:00","2011-07-09T07:26:01-08:00",FALSE,2011-07-07 08:38:46,2011-07-09 07:26:01,2807.25,46.7875
"85",27674,"23agc030","23-AGC030_1","I-Incubating","NotApplicable","2023-07-05T06:02:57-08:00","2023-07-07T04:33:31-08:00","2023-07-05T06:02:52-08:00","2023-07-07T04:33:36-08:00",FALSE,2023-07-05 06:02:52,2023-07-07 04:33:36,2790.73333333333,46.5122222222222
"86",27232,"22esw041","22-ESW041_2","I-Incubating","NotApplicable","2022-07-11T12:17:56-08:00","2022-07-13T10:47:10-08:00","2022-07-11T12:17:51-08:00","2022-07-13T10:47:15-08:00",FALSE,2022-07-11 12:17:51,2022-07-13 10:47:15,2789.4,46.49
"87",26286,"19nrg046","19-NRG046_1","I-Incubating","NotApplicable","2019-06-26T07:55:21-08:00","2019-06-28T06:23:25-08:00","2019-06-26T07:59:25-08:00","2019-06-28T06:27:39-08:00",FALSE,2019-06-26 07:59:25,2019-06-28 06:27:39,2788.23333333333,46.4705555555555
"88",25965,"19cht010","19-CHT010_2","I-Incubating","NotApplicable","2019-06-25T14:06:01-08:00","2019-06-27T12:33:46-08:00","2019-06-25T14:06:01-08:00","2019-06-27T12:33:51-08:00",FALSE,2019-06-25 14:06:01,2019-06-27 12:33:51,2787.83333333333,46.4638888888889
"89",28088,"24mle091","24-MLE091_1","I-Incubating","NotApplicable","2024-07-08T09:27:58-08:00","2024-07-10T07:45:22-08:00","2024-07-08T09:27:53-08:00","2024-07-10T07:45:27-08:00",FALSE,2024-07-08 09:27:53,2024-07-10 07:45:27,2777.56666666667,46.2927777777778
"90",26245,"19noc017","19-NOC017_1","I-Incubating","NotApplicable","2019-06-29T06:26:41-08:00","2019-07-01T04:40:35-08:00","2019-06-29T06:26:36-08:00","2019-07-01T04:40:40-08:00",FALSE,2019-06-29 06:26:36,2019-07-01 04:40:40,2774.06666666667,46.2344444444444
"91",27963,"24cam058","24-CAM058_1","I-Incubating","NotApplicable","2024-07-03T06:15:37-08:00","2024-07-05T04:17:32-08:00","2024-07-03T06:15:37-08:00","2024-07-05T04:17:37-08:00",FALSE,2024-07-03 06:15:37,2024-07-05 04:17:37,2762,46.0333333333333
"92",25057,"14eeu038","14-EEU038_1","I-Incubating","NotApplicable","2000-01-03T14:46:11-09:00","2000-01-05T12:46:11-09:00","2014-07-08T10:55:38-08:00","2014-07-10T08:55:53-08:00",FALSE,2014-07-08 10:55:38,2014-07-10 08:55:53,2760.25,46.0041666666667
"93",25177,"14smh016","14-SMH016_1","I-Incubating","NotApplicable","2014-07-07T04:44:20-08:00","2014-07-09T02:40:50-08:00","2014-07-07T06:42:09-08:00","2014-07-09T04:38:54-08:00",FALSE,2014-07-07 06:42:09,2014-07-09 04:38:54,2756.75,45.9458333333333
"94",22478,"12jjn009","12-JJN009_1","I-Incubating","NotApplicable","2012-06-21T10:23:44-08:00","2012-06-23T08:14:29-08:00","2012-06-21T10:36:33-08:00","2012-06-23T08:27:33-08:00",FALSE,2012-06-21 10:36:33,2012-06-23 08:27:33,2751,45.85
"95",28043,"24jan109","24-JAN109_1","I-Incubating","NotApplicable","2024-07-08T04:05:40-08:00","2024-07-10T01:50:14-08:00","2024-07-08T04:05:35-08:00","2024-07-10T01:50:19-08:00",FALSE,2024-07-08 04:05:35,2024-07-10 01:50:19,2744.73333333333,45.7455555555556
"96",28041,"24jan109","24-JAN109_1","I-Incubating","NotApplicable","2024-07-06T06:15:56-08:00","2024-07-08T03:39:30-08:00","2024-07-06T06:15:51-08:00","2024-07-08T03:39:35-08:00",FALSE,2024-07-06 06:15:51,2024-07-08 03:39:35,2723.73333333333,45.3955555555556
"97",28102,"24mle091","24-MLE091_1","I-Incubating","NotApplicable","2024-07-13T10:14:33-08:00","2024-07-15T07:35:07-08:00","2024-07-13T10:14:28-08:00","2024-07-15T07:35:12-08:00",FALSE,2024-07-13 10:14:28,2024-07-15 07:35:12,2720.73333333333,45.3455555555555
"98",27697,"23agc031","23-AGC031_1","I-Incubating","NotApplicable","2023-07-01T10:09:50-08:00","2023-07-03T07:17:04-08:00","2023-07-01T10:09:45-08:00","2023-07-03T07:17:09-08:00",FALSE,2023-07-01 10:09:45,2023-07-03 07:17:09,2707.4,45.1233333333333
"99",25064,"14eeu038","14-EEU038_2","I-Incubating","NotApplicable","2000-01-04T19:33:26-09:00","2000-01-06T16:32:11-09:00","2014-07-15T08:55:37-08:00","2014-07-17T05:54:37-08:00",FALSE,2014-07-15 08:55:37,2014-07-17 05:54:37,2699,44.9833333333333
"100",27765,"23drs086","23-DRS086_1","I-Incubating","NotApplicable","2023-07-07T09:25:57-08:00","2023-07-09T06:15:11-08:00","2023-07-07T09:25:52-08:00","2023-07-09T06:15:16-08:00",FALSE,2023-07-07 09:25:52,2023-07-09 06:15:16,2689.4,44.8233333333333
"101",22510,"12rrg007","12-RRG007_3","I-Incubating","NotApplicable","2012-07-06T07:04:25-08:00","2012-07-08T03:36:10-08:00","2012-07-06T09:09:06-08:00","2012-07-08T05:41:06-08:00",FALSE,2012-07-06 09:09:06,2012-07-08 05:41:06,2672,44.5333333333333
"102",21807,"11mcz010",NA,"I-Incubating","NotApplicable","2011-06-29T14:30:41-08:00","2011-07-01T10:59:11-08:00","2011-06-29T14:30:33-08:00","2011-07-01T10:59:18-08:00",FALSE,2011-06-29 14:30:33,2011-07-01 10:59:18,2668.75,44.4791666666667
"103",27955,"24akm052","24-AKM052_1","I-Incubating","NotApplicable","2024-07-10T06:54:26-08:00","2024-07-12T03:22:10-08:00","2024-07-10T06:54:21-08:00","2024-07-12T03:22:15-08:00",FALSE,2024-07-10 06:54:21,2024-07-12 03:22:15,2667.9,44.465
"104",26288,"19nrg046","19-NRG046_1","I-Incubating","NotApplicable","2019-06-28T07:47:05-08:00","2019-06-30T03:48:59-08:00","2019-06-28T07:51:09-08:00","2019-06-30T03:53:13-08:00",FALSE,2019-06-28 07:51:09,2019-06-30 03:53:13,2642.06666666667,44.0344444444444
"105",27953,"24akm052","24-AKM052_1","I-Incubating","NotApplicable","2024-07-08T10:36:02-08:00","2024-07-10T06:37:16-08:00","2024-07-08T10:35:57-08:00","2024-07-10T06:37:21-08:00",FALSE,2024-07-08 10:35:57,2024-07-10 06:37:21,2641.4,44.0233333333333
"106",23082,"16fox002","16-FOX002_1","I-Incubating","NotApplicable","2016-06-19T08:56:30-08:00","2016-06-21T04:55:30-08:00","2016-06-19T08:52:41-08:00","2016-06-21T04:51:56-08:00",FALSE,2016-06-19 08:52:41,2016-06-21 04:51:56,2639.25,43.9875
"107",25290,"12keo001","12-KEO001_2","I-Incubating","NotApplicable","2012-06-25T14:17:00-08:00","2012-06-27T10:06:00-08:00","2012-06-26T09:26:00-08:00","2012-06-28T05:15:07-08:00",FALSE,2012-06-26 09:26:00,2012-06-28 05:15:07,2629.11666666667,43.8186111111111
"108",23041,"16dcb032","16-DCB032_1","I-Incubating","NotApplicable","2016-06-29T08:17:44-08:00","2016-07-01T03:55:09-08:00","2016-06-29T08:06:05-08:00","2016-07-01T03:43:35-08:00",FALSE,2016-06-29 08:06:05,2016-07-01 03:43:35,2617.5,43.625
"109",21488,"11est009","11-EST009_5","I-Incubating","NotApplicable","2011-07-10T02:41:14-08:00","2011-07-11T22:17:29-08:00","2011-07-10T02:58:26-08:00","2011-07-11T22:34:56-08:00",FALSE,2011-07-10 02:58:26,2011-07-11 22:34:56,2616.5,43.6083333333333
"110",23048,"16dlc007","16-DLC007_1","I-Incubating","NotApplicable","2016-06-25T09:51:15-08:00","2016-06-27T05:26:30-08:00","2016-06-25T09:51:07-08:00","2016-06-27T05:26:37-08:00",FALSE,2016-06-25 09:51:07,2016-06-27 05:26:37,2615.5,43.5916666666667
"111",21804,"11mcz010",NA,"I-Incubating","NotApplicable","2011-06-24T15:34:14-08:00","2011-06-26T10:54:44-08:00","2011-06-24T15:34:06-08:00","2011-06-26T10:54:51-08:00",FALSE,2011-06-24 15:34:06,2011-06-26 10:54:51,2600.75,43.3458333333333
"112",25263,"19noc018","19-NOC018_1","I-Incubating","NotApplicable","2019-07-06T15:57:44-08:00","2019-07-08T11:06:28-08:00","2019-07-06T15:52:30-08:00","2019-07-08T11:01:24-08:00",FALSE,2019-07-06 15:52:30,2019-07-08 11:01:24,2588.9,43.1483333333333
"113",23021,"15sot010","15-SOT010_1","I-Incubating","NotApplicable","2015-07-01T10:41:15-08:00","2015-07-03T05:40:00-08:00","2015-07-01T10:41:07-08:00","2015-07-03T05:40:07-08:00",FALSE,2015-07-01 10:41:07,2015-07-03 05:40:07,2579,42.9833333333333
"114",28137,"25cbp038","25-CBP038","I-Incubating","NotApplicable","2025-07-11T09:29:40-08:00","2025-07-13T04:09:34-08:00","2025-07-11T09:29:35-08:00","2025-07-13T04:09:39-08:00",FALSE,2025-07-11 09:29:35,2025-07-13 04:09:39,2560.06666666667,42.6677777777778
"115",27251,"22nrg021","22-NRG021_2","I-Incubating","NotApplicable","2022-07-14T09:24:26-08:00","2022-07-16T03:49:10-08:00","2022-07-14T09:24:21-08:00","2022-07-16T03:49:15-08:00",FALSE,2022-07-14 09:24:21,2022-07-16 03:49:15,2544.9,42.415
"116",23074,"16fox001","16-FOX001_1","I-Incubating","NotApplicable","2016-06-17T11:37:53-08:00","2016-06-19T05:51:57-08:00","2016-06-17T11:30:39-08:00","2016-06-19T05:44:53-08:00",FALSE,2016-06-17 11:30:39,2016-06-19 05:44:53,2534.23333333333,42.2372222222222
"117",27457,"23jan134","23-JAN134_1","I-Incubating","NotApplicable","2023-07-11T03:38:02-08:00","2023-07-12T21:49:09-08:00","2023-07-11T03:37:57-08:00","2023-07-12T21:49:14-08:00",FALSE,2023-07-11 03:37:57,2023-07-12 21:49:14,2531.28333333333,42.1880555555556
"118",27928,"24akm020","24-AKM020_1","I-Incubating","NotApplicable","2024-07-14T06:02:48-08:00","2024-07-16T00:04:02-08:00","2024-07-14T06:02:43-08:00","2024-07-16T00:04:07-08:00",FALSE,2024-07-14 06:02:43,2024-07-16 00:04:07,2521.4,42.0233333333333
